時刻,EventID,イベント種別,分類,対象,対象種別,対象種別備考,プロセス名,プロセスID,ユーザー,アクセス内容,HandleId,RecordId
2026-07-20 06:58:13.626065,4658,ハンドルクローズ,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x5ab0,3914266
2026-07-20 06:58:13.628213,4656,ハンドル要求,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ListDirectory, Synchronize (0x100001)",0x5494,3914269
2026-07-20 06:58:13.628217,4663,アクセス試行,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,ListDirectory (0x1),0x5494,3914270
2026-07-20 06:58:13.628237,4658,ハンドルクローズ,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x5494,3914271
2026-07-20 06:58:13.629233,4656,ハンドル要求,シグナル,D:\tmp\ProbeTest\Source\move_source.txt,ファイル,拡張子から推定(ファイルシステムは未確認),C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ReadAttributes, Delete, Synchronize (0x110080)",0x5494,3914274
2026-07-20 06:58:13.629236,4663,アクセス試行,シグナル,D:\tmp\ProbeTest\Source\move_source.txt,ファイル,拡張子から推定(ファイルシステムは未確認),C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,Delete (0x10000),0x5494,3914275
2026-07-20 06:58:13.629274,4656,ハンドル要求,シグナル,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"CreateFiles, Synchronize (0x100002)",0x862c,3914276
2026-07-20 06:58:13.629277,4663,アクセス試行,シグナル,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,CreateFiles (0x2),0x862c,3914277
2026-07-20 06:58:13.629448,4658,ハンドルクローズ,シグナル,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x862c,3914278
2026-07-20 06:58:13.629502,4658,ハンドルクローズ,シグナル,D:\tmp\ProbeTest\Source\move_source.txt,ファイル,拡張子から推定(ファイルシステムは未確認),C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x5494,3914279
2026-07-20 06:58:13.629766,4656,ハンドル要求,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ListDirectory, ReadAttributes, Synchronize (0x100081)",0x5494,3914282
2026-07-20 06:58:13.629785,4663,アクセス試行,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,ListDirectory (0x1),0x5494,3914283
2026-07-20 06:58:13.629787,4658,ハンドルクローズ,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x5494,3914284
2026-07-20 06:58:13.630877,4656,ハンドル要求,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ListDirectory, ReadAttributes, Synchronize (0x100081)",0x5494,3914287
2026-07-20 06:58:13.630880,4663,アクセス試行,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,ListDirectory (0x1),0x5494,3914288
2026-07-20 06:58:13.630995,4656,ハンドル要求,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ListDirectory, ReadAttributes, Synchronize (0x100081)",0x5d04,3914291
2026-07-20 06:58:13.631014,4663,アクセス試行,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,ListDirectory (0x1),0x5d04,3914292
2026-07-20 06:58:13.637592,4656,ハンドル要求,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,"ListDirectory, ReadAttributes, Synchronize (0x100081)",0x62c4,3914295
2026-07-20 06:58:13.637596,4663,アクセス試行,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,ListDirectory (0x1),0x62c4,3914296
2026-07-20 06:58:13.637598,4658,ハンドルクローズ,閲覧のみ,D:\tmp\ProbeTest,フォルダ,Directory.Existsで確認,C:\Windows\explorer.exe,0x119c,WIN-DESK-2022\s0911,,0x62c4,3914297
