"時刻","操作","EventID","AccessList","AccessMask","AccessReason","EtwTime","IpAddress","IpPort","ObjectType","RelativeTargetName","ShareLocalPath","ShareName","SubjectDomainName","SubjectLogonId","SubjectUserName","SubjectUserSid"
"06:36:42.773165","ShareFileAccess","5145","%%1541     %%4416     %%4423","0x100081","%%1541: %%1801 D:(A;;FA;;;WD)     %%4416: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:36:41.748799","192.168.1.20","55411","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:36:42.774488","ShareFileAccess","5145","%%1541     %%4416     %%4423","0x100081","%%1541: %%1801 D:(A;;FA;;;WD)     %%4416: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:36:41.750315","192.168.1.20","55411","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:36:42.775026","ShareFileAccess","5145","%%1541     %%4416     %%4423","0x100081","%%1541: %%1801 D:(A;;FA;;;WD)     %%4416: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:36:41.750604","192.168.1.20","55411","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:36:50.310085","ShareFileAccess","5145","%%1538     %%1539     %%1541     %%4416     %%4417     %%4418     %%4419     %%4420     %%4423     %%4424","0x16019f","%%1538: %%1801 D:(A;;FA;;;WD)     %%1539: %%1801 D:(A;;FA;;;WD)     %%1541: %%1801 D:(A;;FA;;;WD)     %%4416: %%1801 D:(A;;FA;;;WD)     %%4417: %%1801 D:(A;;FA;;;WD)     %%4418: %%1801 D:(A;;FA;;;WD)     %%4419: %%1801 D:(A;;FA;;;WD)     %%4420: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)     %%4424: %%1801 D:(A;;FA;;;WD)","06:36:49.299666","192.168.1.20","55411","File","New Text Document.txt","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:36:50.310953","ShareFileAccess","5145","%%4417","0x2","%%4417: %%1801 D:(A;;FA;;;WD)","06:36:49.299679","192.168.1.20","55411","File","New Text Document.txt","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:36:50.311281","ShareFileAccess","5145","%%1541     %%4416     %%4423","0x100081","%%1541: %%1801 D:(A;;FA;;;WD)     %%4416: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:36:49.334603","192.168.1.20","55411","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:36:51.326917","ShareFileAccess","5145","%%1541     %%4423","0x100080","%%1541: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:36:50.325892","192.168.1.20","55411","File","New Text Document.txt","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:36:51.327534","ShareFileAccess","5145","%%1537     %%1541     %%4423","0x110080","%%1537: %%1801 D:(A;;FA;;;WD)     %%1541: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:36:51.128761","192.168.1.20","55411","File","New Text Document.txt","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:36:51.328057","ShareFileAccess","5145","%%1541     %%4416     %%4423","0x100081","%%1541: %%1801 D:(A;;FA;;;WD)     %%4416: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:36:51.131092","192.168.1.20","55411","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:36:51.328666","ShareFileAccess","5145","%%1541     %%4416     %%4423","0x100081","%%1541: %%1801 D:(A;;FA;;;WD)     %%4416: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:36:51.134940","192.168.1.20","55411","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
"06:36:51.329055","ShareFileAccess","5145","%%1541     %%4416     %%4423","0x100081","%%1541: %%1801 D:(A;;FA;;;WD)     %%4416: %%1801 D:(A;;FA;;;WD)     %%4423: %%1801 D:(A;;FA;;;WD)","06:36:51.135095","192.168.1.20","55411","File","\","\??\D:\tmp\ProbeTest","\\*\ProbeTest","WIN-DESK-2022","0x643867fb","smbtest","S-1-5-21-3393082697-3192495989-2329455330-1012"
